OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,ProductName,Category,Sub-Category,Sales,Quantity,Discount,Profit,ProfitMargin,DeliveryDays,Delayed
O00022,2023-01-01,2023-01-07,Standard Class,C0177,Customer_177,Corporate,India,New York,GJ,746117,Central,P0018,Accessories_18,Technology,Accessories,759.5,2,0.0,154.96,0.2040289664252798,6,1
O00079,2023-01-01,2023-01-07,Standard Class,C0119,Customer_119,Home Office,India,Mumbai,NSW,123236,East,P0040,Binders_40,Office Supplies,Binders,1011.27,1,0.1,207.82,0.20550397025522363,6,1
O00180,2023-01-02,2023-01-02,Same Day,C0194,Customer_194,Corporate,India,Sydney,NSW,324137,South,P0112,Accessories_112,Technology,Accessories,561.32,1,0.2,62.79,0.11186132687237225,0,0
O00134,2023-01-03,2023-01-07,Standard Class,C0249,Customer_249,Home Office,UK,San Francisco,KA,830026,West,P0069,Tables_69,Furniture,Tables,1147.45,1,0.0,196.45,0.17120571702470694,4,0
O00391,2023-01-07,2023-01-07,Same Day,C0186,Customer_186,Corporate,India,Chennai,TN,705470,Central,P0033,Binders_33,Office Supplies,Binders,1195.68,2,0.0,104.74,0.08759868861233774,0,0
O00056,2023-01-08,2023-01-14,Standard Class,C0017,Customer_17,Consumer,India,Bengaluru,KA,119816,Central,P0044,Binders_44,Office Supplies,Binders,524.31,3,0.3,68.07,0.12982777364536247,6,1
O00557,2023-01-08,2023-01-12,Standard Class,C0030,Customer_30,Consumer,Canada,Mumbai,GJ,978806,East,P0060,Binders_60,Office Supplies,Binders,2565.29,7,0.0,632.5,0.24656081768532992,4,0
O00984,2023-01-08,2023-01-13,Second Class,C0029,Customer_29,Corporate,India,Houston,MH,535165,South,P0094,Binders_94,Office Supplies,Binders,3785.04,6,0.0,832.97,0.22006900851774355,5,1
O00542,2023-01-10,2023-01-17,Standard Class,C0201,Customer_201,Corporate,Australia,New York,TN,791757,East,P0023,Bookcases_23,Furniture,Bookcases,685.96,6,0.1,228.78,0.3335179893871363,7,1
O00214,2023-01-10,2023-01-12,Second Class,C0238,Customer_238,Consumer,Australia,Sydney,BC,166017,West,P0007,Machines_7,Technology,Machines,38.48,2,0.0,7.79,0.20244282744282746,2,0
